P6KE15A-DIO;10;Dioda
OKI78SR-5/1.5-W36C;10;Przetwornica
1N5819/ST;10;Ochrona przed odwrotna polaryzacja
LP2950CZ-3.3/NOPB;10;LDO do adxl
KM10/50;10;10uF
K104K10X7RF5UH5;20;100nF
FRH035080-A;10;Ferryt
EEUFR1V221;10;220uF
EEUFR1E471Y;10;470uF
ZL262-6DG;20;2x3 header adxl
ZL262-3SG;10;1x3 RS485 header
ZL262-20SG;20;1x20 header pico
08710030FXS01130;10;1x3 RS485 pins 
TAD05-02-1-L-G;20;2pin screw terminal
